Size of Array,Type of Array,Sorting Algorithm,Number of Comparisons,Execution Time
11,Inversely-sorted,Selection,55,9.43e-07
11,Inversely-sorted,Insertion,55,1.258e-06
12,Random,Heap,48,1.487e-06
12,Random,Bubble,65,1.486e-06
12,Random,Selection,66,1.229e-06
12,Random,Insertion,41,1.118e-06
12,Sorted,Heap,47,1.263e-06
12,Sorted,Bubble,11,3.29e-07
12,Sorted,Selection,66,8.2e-07
12,Sorted,Insertion,11,4.36e-07
12,Inversely-sorted,Heap,55,1.713e-06
12,Inversely-sorted,Bubble,66,1.678e-06
12,Inversely-sorted,Selection,66,1.087e-06
12,Inversely-sorted,Insertion,66,1.628e-06
13,Random,Heap,61,1.683e-06
13,Random,Bubble,78,1.786e-06
13,Random,Selection,78,1.273e-06
13,Random,Insertion,52,1.322e-06
13,Sorted,Heap,55,1.51e-06
13,Sorted,Bubble,12,3.65e-07
13,Sorted,Selection,78,9.31e-07
13,Sorted,Insertion,12,4.28e-07
13,Inversely-sorted,Heap,63,1.605e-06
13,Inversely-sorted,Bubble,78,1.906e-06
13,Inversely-sorted,Selection,78,1.031e-06
13,Inversely-sorted,Insertion,78,1.641e-06
14,Random,Heap,65,1.798e-06
14,Random,Bubble,91,1.978e-06
14,Random,Selection,91,1.421e-06
14,Random,Insertion,59,1.387e-06
14,Sorted,Heap,61,1.422e-06
14,Sorted,Bubble,13,3.77e-07
14,Sorted,Selection,91,9e-07
14,Sorted,Insertion,13,4.12e-07
14,Inversely-sorted,Heap,69,1.715e-06
14,Inversely-sorted,Bubble,91,1.951e-06
14,Inversely-sorted,Selection,91,1.133e-06
14,Inversely-sorted,Insertion,91,2.006e-06
15,Random,Heap,74,1.881e-06
15,Random,Bubble,84,1.668e-06
15,Random,Selection,105,1.311e-06
15,Random,Insertion,53,1.341e-06
15,Sorted,Heap,66,2.164e-06
15,Sorted,Bubble,14,5.18e-07
15,Sorted,Selection,105,1.24e-06
15,Sorted,Insertion,14,5.41e-07
15,Inversely-sorted,Heap,77,2.172e-06
15,Inversely-sorted,Bubble,105,2.477e-06
15,Inversely-sorted,Selection,105,1.462e-06
15,Inversely-sorted,Insertion,105,2.475e-06
16,Random,Heap,78,2.02e-06
16,Random,Bubble,105,1.581e-06
16,Random,Selection,120,1.479e-06
16,Random,Insertion,53,1.374e-06
16,Sorted,Heap,72,1.615e-06
16,Sorted,Bubble,15,4.09e-07
16,Sorted,Selection,120,1.12e-06
16,Sorted,Insertion,15,3.82e-07
16,Inversely-sorted,Heap,85,2.246e-06
16,Inversely-sorted,Bubble,120,3.034e-06
16,Inversely-sorted,Selection,120,1.619e-06
16,Inversely-sorted,Insertion,120,2.52e-06
17,Random,Heap,90,2.473e-06
17,Random,Bubble,133,2.593e-06
17,Random,Selection,136,1.643e-06
17,Random,Insertion,99,1.919e-06
