Size of Array,Type of Array,Sorting Algorithm,Number of Comparisons,Execution Time
1,Inversely-sorted,Heap,0,7.4e-08
1,Inversely-sorted,Bubble,0,8e-08
1,Inversely-sorted,Selection,0,7.4e-08
1,Inversely-sorted,Insertion,0,9e-08
1,Random,Heap,0,9.4e-08
1,Random,Bubble,0,7.8e-08
1,Random,Selection,0,8.1e-08
1,Random,Insertion,0,7.9e-08
1,Sorted,Heap,0,8e-08
1,Sorted,Bubble,0,7.5e-08
1,Sorted,Selection,0,8.8e-08
1,Sorted,Insertion,0,8.4e-08
1,Inversely-sorted,Heap,0,7.4e-08
1,Inversely-sorted,Bubble,0,7.8e-08
1,Inversely-sorted,Selection,0,9.4e-08
1,Inversely-sorted,Insertion,0,8.6e-08
1,Random,Heap,0,7.7e-08
1,Random,Bubble,0,1.01e-07
1,Random,Selection,0,9.1e-08
1,Random,Insertion,0,8.8e-08
1,Sorted,Heap,0,8.3e-08
1,Sorted,Bubble,0,9.4e-08
1,Sorted,Selection,0,8e-08
1,Sorted,Insertion,0,9.4e-08
1,Inversely-sorted,Heap,0,7.8e-08
1,Inversely-sorted,Bubble,0,8.7e-08
1,Inversely-sorted,Selection,0,7.5e-08
1,Inversely-sorted,Insertion,0,7.9e-08
1,Random,Heap,0,9.5e-08
1,Random,Bubble,0,7.3e-08
1,Random,Selection,0,9.9e-08
1,Random,Insertion,0,7.1e-08
1,Sorted,Heap,0,6.2e-08
1,Sorted,Bubble,0,5.3e-08
1,Sorted,Selection,0,5.3e-08
1,Sorted,Insertion,0,8.3e-08
1,Inversely-sorted,Heap,0,5.2e-08
1,Inversely-sorted,Bubble,0,5.3e-08
1,Inversely-sorted,Selection,0,5.3e-08
1,Inversely-sorted,Insertion,0,6.4e-08
1,Random,Heap,0,6.3e-08
1,Random,Bubble,0,5.7e-08
1,Random,Selection,0,8.4e-08
1,Random,Insertion,0,6.3e-08
1,Sorted,Heap,0,5.2e-08
1,Sorted,Bubble,0,6.3e-08
1,Sorted,Selection,0,5.4e-08
1,Sorted,Insertion,0,5.3e-08
1,Inversely-sorted,Heap,0,1.63e-07
1,Inversely-sorted,Bubble,0,1.04e-07
1,Inversely-sorted,Selection,0,1.83e-07
1,Inversely-sorted,Insertion,0,1.23e-07
1,Random,Heap,0,8.2e-08
1,Random,Bubble,0,9.5e-08
1,Random,Selection,0,8.4e-08
1,Random,Insertion,0,7.7e-08
1,Sorted,Heap,0,1.19e-07
1,Sorted,Bubble,0,7.4e-08
1,Sorted,Selection,0,2.1e-07
1,Sorted,Insertion,0,1.44e-07
1,Inversely-sorted,Heap,0,1.13e-07
1,Inversely-sorted,Bubble,0,1e-07
1,Inversely-sorted,Selection,0,8.3e-08
1,Inversely-sorted,Insertion,0,8.7e-08
1,Random,Heap,0,8.3e-08
1,Random,Bubble,0,8.4e-08
1,Random,Selection,0,8.8e-08
1,Random,Insertion,0,8.2e-08
1,Sorted,Heap,0,1.14e-07
1,Sorted,Bubble,0,1.25e-07
1,Sorted,Selection,0,1.28e-07
1,Sorted,Insertion,0,9.5e-08
1,Inversely-sorted,Heap,0,8.7e-08
1,Inversely-sorted,Bubble,0,8.8e-08
1,Inversely-sorted,Selection,0,1.01e-07
1,Inversely-sorted,Insertion,0,8.2e-08
1,Random,Heap,0,1.11e-07
1,Random,Bubble,0,8.1e-08
1,Random,Selection,0,1.02e-07
1,Random,Insertion,0,1.17e-07
1,Sorted,Heap,0,9.5e-08
1,Sorted,Bubble,0,8.9e-08
1,Sorted,Selection,0,8.2e-08
1,Sorted,Insertion,0,8.3e-08
1,Inversely-sorted,Heap,0,8.2e-08
1,Inversely-sorted,Bubble,0,1.17e-07
1,Inversely-sorted,Selection,0,2.45e-07
1,Inversely-sorted,Insertion,0,1.26e-07
1,Random,Heap,0,1.39e-07
1,Random,Bubble,0,9.6e-08
1,Random,Selection,0,9.5e-08
1,Random,Insertion,0,8.8e-08
1,Sorted,Heap,0,8.2e-08
1,Sorted,Bubble,0,7.8e-08
1,Sorted,Selection,0,1.03e-07
1,Sorted,Insertion,0,7.8e-08
1,Inversely-sorted,Heap,0,8.1e-08
1,Inversely-sorted,Bubble,0,8e-08
1,Inversely-sorted,Selection,0,8.9e-08
1,Inversely-sorted,Insertion,0,8.2e-08
1,Random,Heap,0,7.8e-08
1,Random,Bubble,0,7.9e-08
1,Random,Selection,0,7.9e-08
1,Random,Insertion,0,8e-08
1,Sorted,Heap,0,7.7e-08
1,Sorted,Bubble,0,7.7e-08
1,Sorted,Selection,0,1.18e-07
1,Sorted,Insertion,0,8e-08
1,Inversely-sorted,Heap,0,8e-08
1,Inversely-sorted,Bubble,0,8e-08
1,Inversely-sorted,Selection,0,8.3e-08
1,Inversely-sorted,Insertion,0,6.8e-08
1,Random,Heap,0,7.9e-08
1,Random,Bubble,0,1.04e-07
1,Random,Selection,0,7.7e-08
1,Random,Insertion,0,8.9e-08
1,Sorted,Heap,0,8e-08
1,Sorted,Bubble,0,8.2e-08
1,Sorted,Selection,0,7.8e-08
1,Sorted,Insertion,0,9.2e-08
1,Inversely-sorted,Heap,0,7.8e-08
1,Inversely-sorted,Bubble,0,7.9e-08
1,Inversely-sorted,Selection,0,1.05e-07
1,Inversely-sorted,Insertion,0,8.2e-08
1,Random,Heap,0,8.8e-08
1,Random,Bubble,0,8e-08
1,Random,Selection,0,9.9e-08
1,Random,Insertion,0,8.3e-08
1,Sorted,Heap,0,8.1e-08
1,Sorted,Bubble,0,8.4e-08
1,Sorted,Selection,0,9.5e-08
1,Sorted,Insertion,0,8.3e-08
1,Inversely-sorted,Heap,0,8.6e-08
1,Inversely-sorted,Bubble,0,9.1e-08
1,Inversely-sorted,Selection,0,8.7e-08
1,Inversely-sorted,Insertion,0,8.1e-08
1,Random,Heap,0,7.8e-08
1,Random,Bubble,0,8e-08
1,Random,Selection,0,9.1e-08
1,Random,Insertion,0,1.06e-07
1,Sorted,Heap,0,7.8e-08
1,Sorted,Bubble,0,8.6e-08
1,Sorted,Selection,0,8.2e-08
1,Sorted,Insertion,0,1.06e-07
1,Inversely-sorted,Heap,0,6.1e-08
1,Inversely-sorted,Bubble,0,1.08e-07
1,Inversely-sorted,Selection,0,8.2e-08
1,Inversely-sorted,Insertion,0,9.7e-08
1,Random,Heap,0,9.3e-08
1,Random,Bubble,0,8.7e-08
1,Random,Selection,0,7.5e-08
1,Random,Insertion,0,8.3e-08
1,Sorted,Heap,0,7.7e-08
1,Sorted,Bubble,0,1e-07
1,Sorted,Selection,0,1.34e-07
1,Sorted,Insertion,0,6.5e-08
1,Inversely-sorted,Heap,0,7.5e-08
1,Inversely-sorted,Bubble,0,8.6e-08
1,Inversely-sorted,Selection,0,7.6e-08
1,Inversely-sorted,Insertion,0,8.8e-08
2,Random,Heap,1,2.12e-07
2,Random,Bubble,1,1.83e-07
2,Random,Selection,1,1.58e-07
2,Random,Insertion,1,1.84e-07
2,Sorted,Heap,1,1.51e-07
2,Sorted,Bubble,1,1.45e-07
2,Sorted,Selection,1,1.33e-07
